stream,position,order,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12a,13a,14a
Dierbach,forest,Ephemeroptera,A,E,F,G,H,M,N,NA,NA,NA,NA,NA,NA,NA
Dierbach,forest,Plecoptera,A,E,H,I,J,K,L,NA,NA,NA,NA,NA,NA,NA
Dierbach,forest,Trichoptera,A,B,C,D,E,G,I,J,K,L,NA,NA,NA,NA
Dierbach,agriculture,Ephemeroptera,A,B,C,E,F,G,H,I,K,L,M,N,NA,NA
Dierbach,agriculture,Plecoptera,A,B,C,D,F,G,H,I,J,K,L,M,N,NA
Dierbach,agriculture,Trichoptera,A,B,C,D,E,F,G,H,I,L,M,N,NA,NA
Hainbach,forest,Diptera,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hainbach,forest,Ephemeroptera,A,E,K,L,M,N,NA,NA,NA,NA,NA,NA,NA,NA
Hainbach,forest,Plecoptera,A,B,D,F,G,H,I,J,K,L,M,N,NA,NA
Hainbach,forest,Trichoptera,A,B,C,D,E,H,I,J,K,M,N,NA,NA,NA
Hainbach,agriculture,Ephemeroptera,A,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hainbach,agriculture,Plecoptera,A,B,C,D,E,F,G,H,I,J,K,L,M,N
Hainbach,agriculture,Trichoptera,A,B,C,E,F,G,K,NA,NA,NA,NA,NA,NA,NA
Isenach,forest,Ephemeroptera,A,E,K,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isenach,forest,Plecoptera,A,G,H,I,J,K,N,NA,NA,NA,NA,NA,NA,NA
Isenach,forest,Trichoptera,A,B,D,E,F,J,K,L,M,N,NA,NA,NA,NA
Isenach,agriculture,Diptera,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isenach,agriculture,Ephemeroptera,A,E,G,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isenach,agriculture,Plecoptera,A,B,C,D,E,F,G,H,I,J,K,L,M,N
Isenach,agriculture,Trichoptera,A,B,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaiserbach,forest,Diptera,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaiserbach,forest,Ephemeroptera,A,E,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaiserbach,forest,Plecoptera,A,B,D,E,I,J,K,L,M,N,NA,NA,NA,NA
Kaiserbach,forest,Trichoptera,A,B,C,D,E,F,I,J,K,L,M,N,NA,NA
Kaiserbach,agriculture,Ephemeroptera,A,J,K,L,M,N,NA,NA,NA,NA,NA,NA,NA,NA
Kaiserbach,agriculture,Plecoptera,A,B,C,D,E,F,G,H,I,J,K,L,M,N
Kaiserbach,agriculture,Trichoptera,A,B,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klingbach,forest,Ephemeroptera,H,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klingbach,forest,Plecoptera,A,B,C,D,E,F,G,H,I,J,K,L,M,N
Klingbach,forest,Trichoptera,A,B,C,E,G,L,N,NA,NA,NA,NA,NA,NA,NA
Klingbach,agriculture,Diptera,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klingbach,agriculture,Ephemeroptera,A,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klingbach,agriculture,Plecoptera,A,B,C,D,E,F,G,H,I,J,K,L,M,N
Klingbach,agriculture,Trichoptera,A,B,C,E,N,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kropsbach,forest,Ephemeroptera,A,B,E,G,H,I,J,K,L,M,N,NA,NA,NA
Kropsbach,forest,Plecoptera,A,G,J,K,L,M,N,NA,NA,NA,NA,NA,NA,NA
Kropsbach,forest,Trichoptera,A,B,C,E,J,L,N,NA,NA,NA,NA,NA,NA,NA
Kropsbach,agriculture,Diptera,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kropsbach,agriculture,Ephemeroptera,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kropsbach,agriculture,Plecoptera,A,B,C,D,NA,F,G,H,I,J,K,L,M,N
Kropsbach,agriculture,Trichoptera,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modenbach,forest,Plecoptera,A,G,H,I,J,K,L,M,N,NA,NA,NA,NA,NA
Modenbach,forest,Trichoptera,A,B,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modenbach,agriculture,Ephemeroptera,A,I,J,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Modenbach,agriculture,Plecoptera,A,C,D,E,F,G,H,I,J,K,L,M,N,NA
Modenbach,agriculture,Trichoptera,A,B,C,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otterbach,forest,Ephemeroptera,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otterbach,forest,Plecoptera,A,D,E,F,G,H,I,J,K,L,M,N,NA,NA
Otterbach,forest,Trichoptera,A,B,C,D,E,J,K,M,N,NA,NA,NA,NA,NA
Otterbach,agriculture,Ephemeroptera,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otterbach,agriculture,Plecoptera,A,C,D,E,F,G,H,I,J,K,L,M,N,NA
Otterbach,agriculture,Trichoptera,A,B,C,D,E,F,G,I,K,L,M,N,NA,NA
Russbach,forest,Ephemeroptera,A,K,L,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russbach,forest,Plecoptera,A,D,E,G,H,I,J,K,L,M,N,NA,NA,NA
Russbach,forest,Trichoptera,A,B,C,E,K,L,N,NA,NA,NA,NA,NA,NA,NA
Russbach,agriculture,Ephemeroptera,A,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russbach,agriculture,Plecoptera,A,B,C,D,E,F,G,H,I,J,K,L,M,N
Russbach,agriculture,Trichoptera,A,B,C,E,F,I,J,K,NA,NA,NA,NA,NA,NA
Triefenbach,forest,Ephemeroptera,A,D,I,J,K,L,M,N,NA,NA,NA,NA,NA,NA
Triefenbach,forest,Plecoptera,A,B,D,G,H,I,J,K,L,M,N,NA,NA,NA
Triefenbach,forest,Trichoptera,A,B,D,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Triefenbach,agriculture,Plecoptera,C,D,E,F,G,H,I,J,K,L,M,N,NA,NA
Triefenbach,agriculture,Trichoptera,A,C,D,E,F,L,M,N,NA,NA,NA,NA,NA,NA
